Transaction_ID,Date,Customer_ID,Category,Region,Quantity,Price_per_Unit,Payment_Method,Month,Total_Sales
TXN100000,2023-01-01 00:00:00,CUST1432,Electronics,South,3,382.74,Cash,August,1148.22
TXN100001,2023-01-01 01:00:00,CUST1410,Toys,West,9,371.33,Online Payment,February,3341.97
TXN100002,2023-01-01 02:00:00,CUST1258,Home Decor,West,5,386.78,Debit Card,July,1933.9
TXN100003,2023-01-01 03:00:00,CUST1254,Electronics,East,7,27.0,Credit Card,February,189.0
TXN100004,2023-01-01 04:00:00,CUST1287,Groceries,South,8,448.08,Credit Card,October,3584.64
TXN100005,2023-01-01 05:00:00,CUST1010,Clothing,East,2,445.2,Cash,June,890.4
TXN100006,2023-01-01 06:00:00,CUST1330,Toys,North,1,268.3,Debit Card,December,268.3
TXN100007,2023-01-01 07:00:00,CUST1491,Electronics,East,7,128.05,Online Payment,May,896.35
TXN100008,2023-01-01 08:00:00,CUST1245,Groceries,West,6,298.13,Credit Card,July,1788.78
TXN100009,2023-01-01 09:00:00,CUST1385,Toys,West,6,281.15,Cash,August,1686.9
TXN100010,2023-01-01 10:00:00,CUST1125,Clothing,South,2,115.36,Cash,March,230.72
TXN100011,2023-01-01 11:00:00,CUST1245,Groceries,South,3,303.55,Online Payment,April,910.65
TXN100012,2023-01-01 12:00:00,CUST1204,Groceries,West,4,399.66,Debit Card,October,1598.64
TXN100013,2023-01-01 13:00:00,CUST1342,Groceries,East,3,404.02,Cash,January,1212.06
TXN100014,2023-01-01 14:00:00,CUST1327,Books,East,2,34.55,Cash,November,69.1
TXN100015,2023-01-01 15:00:00,CUST1345,Books,East,3,102.6,Online Payment,May,307.8
TXN100016,2023-01-01 16:00:00,CUST1413,Books,West,6,335.77,Online Payment,May,2014.62
TXN100017,2023-01-01 17:00:00,CUST1245,Clothing,South,9,430.62,Debit Card,February,3875.58
TXN100018,2023-01-01 18:00:00,CUST1215,Books,West,4,263.0,Online Payment,September,1052.0
TXN100019,2023-01-01 19:00:00,CUST1412,Electronics,North,6,355.23,Debit Card,June,2131.38
TXN100020,2023-01-01 20:00:00,CUST1131,Toys,South,1,15.43,Credit Card,November,15.43
TXN100021,2023-01-01 21:00:00,CUST1438,Books,West,6,306.17,Cash,January,1837.02
TXN100022,2023-01-01 22:00:00,CUST1293,Clothing,North,3,481.15,Credit Card,August,1443.45
TXN100023,2023-01-01 23:00:00,CUST1241,Clothing,South,9,332.2,Debit Card,February,2989.8
TXN100024,2023-01-02 00:00:00,CUST1474,Clothing,East,4,461.53,Credit Card,February,1846.12
TXN100025,2023-01-02 01:00:00,CUST1106,Toys,East,7,285.17,Online Payment,April,1996.19
TXN100026,2023-01-02 02:00:00,CUST1232,Toys,West,4,422.47,Debit Card,September,1689.88
TXN100027,2023-01-02 03:00:00,CUST1272,Groceries,East,6,66.46,Online Payment,April,398.76
TXN100028,2023-01-02 04:00:00,CUST1024,Home Decor,East,7,66.14,Online Payment,November,462.98
TXN100029,2023-01-02 05:00:00,CUST1165,Electronics,North,2,64.49,Debit Card,November,128.98
TXN100030,2023-01-02 06:00:00,CUST1128,Books,North,6,246.98,Credit Card,June,1481.88
TXN100031,2023-01-02 07:00:00,CUST1141,Books,West,8,168.48,Online Payment,February,1347.84
TXN100032,2023-01-02 08:00:00,CUST1439,Groceries,West,6,361.0,Debit Card,May,2166.0
TXN100033,2023-01-02 09:00:00,CUST1076,Books,North,2,451.8,Debit Card,July,903.6
TXN100034,2023-01-02 10:00:00,CUST1180,Groceries,East,4,311.59,Debit Card,April,1246.36
TXN100035,2023-01-02 11:00:00,CUST1058,Books,West,1,110.54,Cash,June,110.54
TXN100036,2023-01-02 12:00:00,CUST1289,Books,South,7,465.78,Online Payment,May,3260.46
TXN100037,2023-01-02 13:00:00,CUST1052,Electronics,North,8,266.29,Debit Card,August,2130.32
TXN100038,2023-01-02 14:00:00,CUST1438,Groceries,West,2,361.37,Online Payment,July,722.74
TXN100039,2023-01-02 15:00:00,CUST1276,Home Decor,South,5,445.8,Cash,June,2229.0
TXN100040,2023-01-02 16:00:00,CUST1233,Home Decor,West,8,494.97,Online Payment,September,3959.76
TXN100041,2023-01-02 17:00:00,CUST1063,Electronics,East,8,255.5,Credit Card,May,2044.0
TXN100042,2023-01-02 18:00:00,CUST1217,Toys,West,5,404.99,Credit Card,September,2024.95
TXN100043,2023-01-02 19:00:00,CUST1065,Groceries,East,8,285.6,Credit Card,December,2284.8
TXN100044,2023-01-02 20:00:00,CUST1434,Electronics,West,6,245.79,Cash,December,1474.74
TXN100045,2023-01-02 21:00:00,CUST1276,Groceries,South,5,271.17,Credit Card,December,1355.85
TXN100046,2023-01-02 22:00:00,CUST1293,Electronics,East,4,244.72,Debit Card,September,978.88
TXN100047,2023-01-02 23:00:00,CUST1229,Home Decor,East,5,213.41,Cash,June,1067.05
TXN100048,2023-01-03 00:00:00,CUST1157,Electronics,East,4,363.24,Debit Card,May,1452.96
TXN100049,2023-01-03 01:00:00,CUST1227,Groceries,West,1,128.59,Credit Card,December,128.59
TXN100050,2023-01-03 02:00:00,CUST1223,Toys,South,3,310.11,Online Payment,December,930.33
TXN100051,2023-01-03 03:00:00,CUST1414,Electronics,North,8,357.92,Debit Card,August,2863.36
TXN100052,2023-01-03 04:00:00,CUST1235,Toys,South,7,446.58,Debit Card,July,3126.06
TXN100053,2023-01-03 05:00:00,CUST1222,Clothing,East,7,169.28,Debit Card,March,1184.96
TXN100054,2023-01-03 06:00:00,CUST1218,Electronics,South,3,431.0,Cash,January,1293.0
TXN100055,2023-01-03 07:00:00,CUST1356,Books,North,9,472.92,Online Payment,July,4256.28
TXN100056,2023-01-03 08:00:00,CUST1487,Groceries,South,6,326.1,Debit Card,October,1956.6
TXN100057,2023-01-03 09:00:00,CUST1205,Toys,West,8,386.86,Credit Card,April,3094.88
TXN100058,2023-01-03 10:00:00,CUST1386,Clothing,East,8,205.82,Debit Card,December,1646.56
TXN100059,2023-01-03 11:00:00,CUST1030,Home Decor,South,3,476.31,Cash,November,1428.93
TXN100060,2023-01-03 12:00:00,CUST1355,Electronics,North,4,337.08,Debit Card,May,1348.32
TXN100061,2023-01-03 13:00:00,CUST1313,Groceries,North,6,158.53,Debit Card,September,951.18
TXN100062,2023-01-03 14:00:00,CUST1042,Groceries,North,2,205.11,Cash,July,410.22
TXN100063,2023-01-03 15:00:00,CUST1302,Toys,South,7,310.79,Online Payment,August,2175.53
TXN100064,2023-01-03 16:00:00,CUST1062,Toys,South,2,120.9,Credit Card,April,241.8
